X,Y,ID
365398.3429,5500049.21,1
365394.4838,5500050.257,2
365411.4201,5500047.649,3
365425.5336,5500049.518,4
365444.7171,5500051.267,5
365461.3858,5500063.609,6
365477.3654,5500075.35,7
365496.3287,5500088.463,8
365517.5174,5500100.526,9
365537.6612,5500116.744,10
365517.2513,5500136.592,11
365499.1628,5500120.553,12
365482.7169,5500104.726,13
365463.0814,5500090.239,14
365446.1362,5500080.339,15
365425.4077,5500067.912,16
365409.6989,5500060.62,17
363839.3727,5500084.118,18
363837.7351,5500090.994,19
363835.742,5500097.137,20
363833.6421,5500104.303,21
363834.2902,5500109.657,22
363838.0562,5500112.43,23
363840.9815,5500103.291,24
363842.8419,5500097.46,25
363847.6004,5500095.32,26
363845.2172,5500088.631,27
363848.8606,5500087.798,28
363839.7911,5500083.36,29
363955.8019,5499976.746,30
363978.5678,5499930.982,31
363919.9263,5499863.318,32
363895.886,5499886.909,33
363865.6778,5499835.96,34
363853.9755,5499899.869,35
